"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16525-9644","SG","James","Harden","47.56585246760671","82","9200","NY@HOU","HOU","NY","","","",""
"16525-15755","PF","Anthony","Davis","44.137703317110656","61","8300","IND@NO","NO","IND","","","",""
"16525-12341","SF","Paul","George","38.76666787229938","81","7300","IND@NO","IND","NO","","","",""
"16525-9663","PG","Jrue","Holiday","30.192307692307693","65","6900","IND@NO","NO","IND","O","Personal","",""
"16525-9508","SF","Carmelo","Anthony","37.69305419921875","72","6800","NY@HOU","NY","HOU","","","",""
"16525-9666","PF","Thaddeus","Young","30.95479385166952","73","6000","IND@NO","IND","NO","","","",""
"16525-63122","PF","Kristaps","Porzingis","28.45138888888889","72","5700","NY@HOU","NY","HOU","","","",""
"16525-9446","PG","Jeff","Teague","28.17215313488924","79","5700","IND@NO","IND","NO","","","",""
"16525-16071","PG","Tim","Frazier","12.568627450980392","51","5600","IND@NO","NO","IND","","","",""
"16525-9772","PF","Ryan","Anderson","26.475757945667613","66","5100","NY@HOU","HOU","NY","","","",""
"16525-9475","PG","Derrick","Rose","26.62878787878788","66","5100","NY@HOU","NY","HOU","","","",""
"16525-15757","PF","Terrence","Jones","16.434000244140623","50","5100","IND@NO","NO","IND","","","",""
"16525-23665","SG","Buddy","Hield","0","0","5000","IND@NO","NO","IND","","","",""
"16525-9526","SG","Monta","Ellis","27.054319782021604","81","5000","IND@NO","IND","NO","","","",""
"16525-9538","SF","Trevor","Ariza","24.78024631076389","81","5000","NY@HOU","HOU","NY","","","",""
"16525-9556","SG","Eric","Gordon","22.828889973958333","45","4600","NY@HOU","HOU","NY","","","",""
"16525-12369","SG","Lance","Stephenson","15.218840225883152","69","4500","IND@NO","NO","IND","","","",""
"16525-12474","PG","Patrick","Beverley","21.270421847491196","71","4500","NY@HOU","HOU","NY","GTD","Knee","",""
"16525-58253","PF","Myles","Turner","20.565000406901042","60","4500","IND@NO","IND","NO","GTD","Concussion","",""
"16525-9609","C","Al","Jefferson","24.174467046210108","47","4400","IND@NO","IND","NO","","","",""
"16525-48799","PF","Maurice","Ndour","0","0","4000","NY@HOU","NY","HOU","","","",""
"16525-15417","SG","Solomon","Hill","10.062712071305615","59","4000","IND@NO","NO","IND","","","",""
"16525-11104","SF","Alonzo","Gee","11.280821917808218","73","4000","IND@NO","NO","IND","","","",""
"16525-12391","PF","Jeremy","Evans","5.393333435058594","30","4000","IND@NO","IND","NO","GTD","Shoulder","",""
"16525-18828","SG","Joe","Young","7.524390243902439","41","4000","IND@NO","IND","NO","","","",""
"16525-58505","PF","Chinanu","Onuaku","0","0","4000","NY@HOU","HOU","NY","","","",""
"16525-18702","C","Robert","Sacre","8.415999755859374","25","4000","IND@NO","NO","IND","","","",""
"16525-23800","SF","Glenn","Robinson III","7.235555691189236","45","4000","IND@NO","IND","NO","","","",""
"16525-23776","PF","Montrezl","Harrell","6.966666979667468","39","4000","NY@HOU","HOU","NY","","","",""
"16525-23656","SG","J.P.","Tokoto","0","0","4000","NY@HOU","NY","HOU","","","",""
"16525-9483","C","Joakim","Noah","21.913793103448278","29","4000","NY@HOU","NY","HOU","GTD","Hamstring","",""
"16525-9606","SF","Corey","Brewer","13.662195717416159","82","4000","NY@HOU","HOU","NY","","","",""
"16525-58519","PG","Gary","Payton II","0","0","4000","NY@HOU","HOU","NY","","","",""
"16525-66091","PF","Cheick","Diallo","0","0","4000","IND@NO","NO","IND","","","",""
"16525-63127","C","Guillermo","Hernangomez","0","0","4000","NY@HOU","NY","HOU","","","",""
"16525-15532","SF","K.J.","McDaniels","4.416216051256335","37","4000","NY@HOU","HOU","NY","","","",""
"16525-9615","SG","Courtney","Lee","17.303797468354432","79","4000","NY@HOU","NY","HOU","","","",""
"16525-22548","SG","Nick","Zeisloft","0","0","4000","IND@NO","IND","NO","","","",""
"16525-9534","PG","Aaron","Brooks","12.756521916043932","69","4000","IND@NO","IND","NO","GTD","Hip","",""
"16525-14554","SG","E'Twaun","Moore","13.696609755693856","59","4000","IND@NO","NO","IND","","","",""
"16525-14549","PF","Lavoy","Allen","14.149367706685126","79","4000","IND@NO","IND","NO","","","",""
"16525-16906","SG","Julyan","Stone","0","0","4000","IND@NO","IND","NO","","","",""
"16525-9514","SG","Rodney","Stuckey","16.262069175983296","58","4000","IND@NO","IND","NO","","","",""
"16525-9512","PF","Nene","Hilario","18.689474540844298","57","4000","NY@HOU","HOU","NY","","","",""
"16525-74101","SG","Bobby","Brown","0","0","4000","NY@HOU","HOU","NY","","","",""
"16525-15767","PF","Kyle","Wiltjer","0","0","4000","NY@HOU","HOU","NY","","","",""
"16525-55059","PF","Clint","Capela","18.79610453023539","77","4000","NY@HOU","HOU","NY","","","",""
"16525-16859","SF","Lance","Thomas","12.232203596729343","59","4000","NY@HOU","NY","HOU","","","",""
"16525-9567","SG","Sasha","Vujacic","10.406557176933914","61","4000","NY@HOU","NY","HOU","","","",""
"16525-16202","PF","Rakeem","Christmas","5.199999809265137","1","4000","IND@NO","IND","NO","GTD","Knee","",""
"16525-49349","SG","Isaiah","Taylor","0","0","4000","NY@HOU","HOU","NY","","","",""
"16525-16197","SG","Chasson","Randle","0","0","4000","NY@HOU","NY","HOU","","","",""
"16525-12335","PF","Kevin","Seraphin","9.452083587646484","48","4000","IND@NO","IND","NO","","","",""
"16525-14519","PF","Donatas","Motiejunas","11.381081246040964","37","4000","NY@HOU","HOU","NY","","","",""
"16525-15589","SF","Marshall","Plumlee","0","0","4000","NY@HOU","NY","HOU","","","",""
"16525-16604","SG","Justin","Holiday","9.320754716981131","53","4000","NY@HOU","NY","HOU","","","",""
"16525-17384","C","Kyle","O'Quinn","12.215384615384615","65","4000","NY@HOU","NY","HOU","","","",""
"16525-9679","PF","Louis","Amundson","4.8206897604054415","29","4000","NY@HOU","NY","HOU","GTD","Back","",""
"16525-23234","PG","Pablo","Prigioni","9.081355725304554","59","4000","NY@HOU","HOU","NY","","","",""
"16525-23156","SF","Georges","Niang","0","0","4000","IND@NO","IND","NO","","","",""
"16525-9804","C","Alexis","Ajinca","13.199999793101165","59","4000","IND@NO","NO","IND","","","",""
"16525-9593","PG","Brandon","Jennings","14.972916920979818","48","4000","NY@HOU","NY","HOU","","","",""
"16525-71345","SF","Mindaugas","Kuzminskas","0","0","4000","NY@HOU","NY","HOU","","","",""
"16525-24244","SF","Cleanthony","Early","4.247058644014246","17","4000","NY@HOU","NY","HOU","","","",""
"16525-15582","SG","Quinn","Cook","0","0","4000","IND@NO","NO","IND","","","",""
"16525-42689","PG","Tyler","Ennis","9.695652173913043","46","4000","NY@HOU","HOU","NY","","","",""
"16525-9725","SF","C.J.","Miles","17.9921875","64","4000","IND@NO","IND","NO","","","",""
"16525-23282","SF","Sam","Dekker","1.0666666825612385","3","4000","NY@HOU","HOU","NY","","","",""
"16525-12423","C","Omer","Asik","12.22941140567555","68","4000","IND@NO","NO","IND","","","",""
"16525-73911","SF","Shawn","Dawson","0","0","4000","IND@NO","NO","IND","","","",""
"16525-9940","PF","Dante","Cunningham","12.396250152587891","80","4000","IND@NO","NO","IND","","","",""
"16525-17230","SG","Langston","Galloway","17.29390214129192","82","4000","IND@NO","NO","IND","","","",""
"16525-23826","PF","Alex","Poythress","0","0","4000","IND@NO","IND","NO","","","",""
"16525-22727","SG","Ron","Baker","0","0","4000","NY@HOU","NY","HOU","","","",""